timestamp,p_x,p_y,p_z,q_x,q_y,q_z,q_w,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33,gt_p_x,gt_p_y,gt_p_z,gt_q_w,gt_q_x,gt_q_y,gt_q_z
1403636624.71514,-0.001814,-0.037452,0.012665,-0.80825,0.020137,-0.588463,0.006123,0.0009503046,-0.0001033349,-0.0001036773,0.0003370942,-0.0002736623,0.0006702682,0.0086569839,-0.0088609578,-0.0003452474,0.0171294543,-1.4023e-06,0.0027953069,4.593311,-1.654758,0.571072,0.5828,-0.094501,-0.806163,-0.038942
1403636624.81263,-0.032135,-0.048034,0.004681,-0.810204,0.000326,-0.586124,0.005314,0.0003917896,-5.7214e-06,-0.0001235578,6.5691e-06,2.1787e-06,4.68183e-05,0.0025271536,-7.12e-07,-2.6114e-06,0.0025198327,2.0211e-06,0.0025198038,4.606058,-1.644447,0.570487,0.580864,-0.088419,-0.807814,-0.047193
1403636624.86248,-0.036394,-0.055745,0.007461,-0.812269,-0.003603,-0.583271,0.001397,0.0003823806,1.7215e-06,-0.0001255501,5.9704e-06,-3.46e-07,4.83958e-05,0.0025233642,-1.759e-06,-1.5793e-06,0.0025188894,1.6061e-06,0.0025170209,4.61382,-1.638986,0.572021,0.577077,-0.0844,-0.810648,-0.052087
1403636625.11295,-0.078902,-0.087713,0.046151,0.831309,0.02156,0.555148,0.016491,0.0003695935,1.88235e-05,-0.0001493711,6.8657e-06,-7.5983e-06,6.66509e-05,0.0025196884,-3.1905e-06,-2.4774e-06,0.0025212207,1.0297e-06,0.0025117233,4.656051,-1.618147,0.611254,0.548684,-0.070758,-0.830235,-0.068191
1403636625.16371,-0.085384,-0.090817,0.059343,0.833175,0.019152,0.552538,0.012456,0.0003680607,1.53498e-05,-0.0001520287,6.1983e-06,-6.2799e-06,6.87913e-05,0.0025191133,-3.4422e-06,-1.6681e-06,0.002521974,8.543e-07,0.0025101854,4.662071,-1.616815,0.624433,0.547115,-0.073528,-0.83136,-0.064035
1403636625.26402,-0.092946,-0.093131,0.089523,0.830644,0.014035,0.556588,0.006532,0.0003694469,8.7174e-06,-0.0001480142,5.6822e-06,-3.4751e-06,6.53001e-05,0.0025195145,-3.613e-06,-9.211e-07,0.0025230804,5.935e-07,0.0025090037,4.670084,-1.615389,0.653577,0.552574,-0.077056,-0.827878,-0.05782
1403636625.31313,-0.093447,-0.094078,0.101002,0.828736,0.014394,0.559446,0.003188,0.0003718749,6.7929e-06,-0.0001459508,5.4432e-06,-2.7436e-06,6.32227e-05,0.0025198093,-3.7065e-06,-7.519e-07,0.0025234289,5.765e-07,0.002508596,4.671904,-1.614962,0.665206,0.556068,-0.077953,-0.825602,-0.055635
1403636625.36301,-0.092442,-0.093384,0.107763,0.827603,0.01478,0.561118,0.001152,0.0003734836,5.8258e-06,-0.0001446308,5.1697e-06,-2.4983e-06,6.1845e-05,0.0025198814,-4.1834e-06,-7.635e-07,0.0025230971,4.22e-07,0.0025082607,4.673126,-1.614784,0.671613,0.558311,-0.078074,-0.824189,-0.053916
1403636625.41322,-0.092002,-0.093692,0.10864,0.828276,0.015132,0.560115,0.000521,0.0003731932,5.8153e-06,-0.0001458922,5.1526e-06,-2.5263e-06,6.28886e-05,0.0025201514,-4.1235e-06,-6.709e-07,0.0025231373,5.567e-07,0.0025081602,4.673837,-1.614435,0.67271,0.557251,-0.077929,-0.824969,-0.053152
1403636625.46392,-0.089146,-0.092556,0.107663,0.830317,0.004928,0.55722,0.007517,0.0003563968,5.79e-06,-0.0001418799,5.0472e-06,-2.4725e-06,6.22614e-05,0.0025186168,-2.8273e-06,-6.29e-07,0.0025215453,4.519e-07,0.0025080736,4.673844,-1.614049,0.670319,0.554637,-0.077469,-0.826804,-0.052649
1403636625.51415,-0.086733,-0.092994,0.103196,0.831177,0.004287,0.555943,0.007323,0.000354006,5.3605e-06,-0.0001425282,5.0513e-06,-2.3491e-06,6.31837e-05,0.0025185473,-2.4512e-06,-5.46e-07,0.0025210757,3.874e-07,0.0025080721,4.672463,-1.613582,0.665946,0.553348,-0.077501,-0.827708,-0.051962
