timestamp,p_x,p_y,p_z,q_x,q_y,q_z,q_w,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33,gt_p_x,gt_p_y,gt_p_z,gt_q_w,gt_q_x,gt_q_y,gt_q_z
1403637149.98501,-0.00188,-0.024329,0.003277,-0.823199,-0.005479,-0.566807,0.032306,0.0008739167,-3.38063e-05,-0.000249329,0.0001615525,4.19701e-05,0.0002664612,0.0032488345,0.0004005197,-0.000208008,0.0031177056,-0.0001699556,0.0026394679,4.625821,-1.719636,0.571604,0.55541,-0.183878,-0.806115,-0.088883
1403637150.08957,0.007529,-0.013731,0.014977,-0.833723,-0.012453,-0.55101,0.033732,0.0003811842,-5.3755e-06,-0.0001401609,1.55923e-05,3.6715e-06,8.00192e-05,0.0025495795,1.687e-07,-4.5111e-06,0.0025428271,1.2586e-06,0.002532694,4.631345,-1.706573,0.580872,0.537017,-0.179148,-0.818356,-0.099062
1403637150.13915,0.011184,-0.026371,0.025361,-0.837551,-0.012767,-0.545404,0.02964,0.0003698533,-1.06063e-05,-0.0001474739,1.35778e-05,5.6179e-06,7.66482e-05,0.0025382332,4.3e-08,-4.9258e-06,0.0025254679,-3.263e-07,0.0025305877,4.632479,-1.6982,0.588376,0.531318,-0.177772,-0.821783,-0.103783
1403637150.18899,0.015109,-0.039988,0.035253,-0.838504,-0.012792,-0.544104,0.026409,0.0003672819,-1.04319e-05,-0.0001495284,1.41377e-05,5.6743e-06,7.7675e-05,0.0025369742,7.333e-07,-5.1053e-06,0.0025226564,2.2e-08,0.0025305918,4.631968,-1.688631,0.597996,0.529267,-0.17766,-0.822568,-0.108146
1403637150.2388,0.021798,-0.055147,0.04661,-0.838017,-0.011769,-0.545007,0.023587,0.0003685187,-1.02974e-05,-0.0001486898,1.42196e-05,5.487e-06,7.77839e-05,0.0025364424,1.033e-06,-5.0394e-06,0.0025216184,-3.358e-07,0.0025309239,4.629704,-1.678195,0.609143,0.529311,-0.178065,-0.821958,-0.111839
1403637150.28874,0.030585,-0.07089,0.060007,-0.835871,-0.009361,-0.548375,0.022753,0.0003698969,-1.11783e-05,-0.0001463476,1.35195e-05,5.9678e-06,7.54196e-05,0.0025369764,1.6215e-06,-4.9068e-06,0.002521135,-6.758e-07,0.0025312818,4.625265,-1.667105,0.622232,0.532236,-0.179067,-0.819463,-0.114628
1403637150.43884,0.067519,-0.121658,0.106203,-0.825221,0.000904,-0.56436,0.022532,0.0003822428,-1.9765e-05,-0.0001332472,1.42481e-05,7.8219e-06,6.71599e-05,0.0025458907,5.3575e-06,-4.5163e-06,0.0025257715,-1.6986e-06,0.0025330614,4.602656,-1.630845,0.666053,0.547801,-0.183704,-0.80739,-0.119536
1403637150.53903,0.095745,-0.160431,0.136425,-0.820943,0.006537,-0.570585,0.021052,0.0003867048,-2.38365e-05,-0.0001276971,1.42964e-05,8.0007e-06,6.5248e-05,0.0025583125,9.1796e-06,-4.3889e-06,0.0025377217,-2.2371e-06,0.0025349256,4.58425,-1.605063,0.694695,0.553486,-0.186199,-0.802386,-0.123126
1403637150.58912,0.111222,-0.182647,0.150829,-0.820535,0.008979,-0.57115,0.020719,0.0003866243,-2.57637e-05,-0.0001262328,1.36182e-05,8.3104e-06,6.51253e-05,0.0025660949,1.14534e-05,-4.4412e-06,0.0025469965,-2.4312e-06,0.0025360867,4.574493,-1.591982,0.708181,0.554173,-0.187237,-0.801494,-0.124264
1403637150.63907,0.12447,-0.202758,0.164231,-0.819263,0.010283,-0.572972,0.020131,0.0003877256,-2.78678e-05,-0.0001251446,1.36308e-05,8.6637e-06,6.50694e-05,0.0025762505,1.42456e-05,-4.402e-06,0.0025592846,-2.2463e-06,0.0025376357,4.56436,-1.578739,0.721497,0.555208,-0.188299,-0.800371,-0.125278
1403637150.73918,0.154988,-0.245409,0.190893,-0.818859,0.01238,-0.573577,0.018064,0.0003906874,-2.92281e-05,-0.0001236997,1.41542e-05,8.3365e-06,6.59878e-05,0.0026033683,1.88307e-05,-4.2075e-06,0.002595854,-2.1671e-06,0.00254186,4.54315,-1.552125,0.746235,0.555375,-0.189325,-0.799679,-0.127388
1403637150.83927,0.184348,-0.294961,0.215095,-0.817439,0.014181,-0.575597,0.016749,0.0003942975,-2.94996e-05,-0.0001215585,1.44121e-05,7.6409e-06,6.71045e-05,0.0026400343,2.39353e-05,-3.6251e-06,0.0026557261,-9.686e-07,0.0025480177,4.520476,-1.525233,0.769283,0.556514,-0.189379,-0.798466,-0.129926
1403637150.93912,0.229555,-0.331755,0.240603,-0.813957,0.009086,-0.580595,0.017339,0.0003899132,-2.68811e-05,-0.0001129403,1.28293e-05,4.8199e-06,5.68967e-05,0.0026684055,1.43798e-05,-4.5371e-06,0.0026819487,7.669e-07,0.0025561737,4.496982,-1.499454,0.791275,0.562563,-0.188242,-0.794061,-0.132498
1403637150.9892,0.245789,-0.342704,0.253128,-0.811554,0.008781,-0.584013,0.015224,0.0003895514,-2.40685e-05,-0.0001116898,1.16157e-05,3.5845e-06,5.50549e-05,0.0026727847,9.7932e-06,-2.8505e-06,0.0027047002,6.317e-07,0.0025601746,4.485275,-1.487177,0.800663,0.565648,-0.187573,-0.791872,-0.133406
1403637151.03924,0.261877,-0.357715,0.262861,-0.809508,0.008096,-0.586869,0.014688,0.0003910791,-2.23723e-05,-0.0001089052,1.11209e-05,2.674e-06,5.30109e-05,0.0026841539,4.6251e-06,-1.1458e-06,0.0027361118,1.2415e-06,0.002565536,4.473734,-1.475351,0.808954,0.568346,-0.186794,-0.790038,-0.133907
1403637151.13928,0.289934,-0.388354,0.280119,-0.804504,0.006472,-0.593766,0.013165,0.0003952664,-2.12421e-05,-0.0001028803,1.08729e-05,1.7698e-06,4.93029e-05,0.0027246612,-4.8627e-06,3.0475e-06,0.002814426,4.328e-06,0.0025784367,4.451765,-1.453038,0.8233,0.574628,-0.184225,-0.7858,-0.135578
1403637151.18936,0.301318,-0.39464,0.287339,-0.803686,0.005201,-0.594909,0.01205,0.0003953847,-1.91056e-05,-0.0001020105,1.03537e-05,1.2552e-06,4.80246e-05,0.0027335728,-9.5442e-06,6.8575e-06,0.0028448154,5.4842e-06,0.0025857823,4.441917,-1.442854,0.829041,0.575605,-0.183258,-0.785345,-0.135383
1403637151.23936,0.309952,-0.398937,0.294825,-0.80515,0.004491,-0.592946,0.011275,0.0003937012,-1.76772e-05,-0.0001040212,9.9685e-06,1.2122e-06,4.83755e-05,0.0027439073,-1.14651e-05,1.12185e-05,0.0028737032,7.3271e-06,0.0025938605,4.433008,-1.433396,0.835045,0.573492,-0.183442,-0.787069,-0.134086
1403637151.2892,0.306708,-0.300387,0.334253,0.806248,-0.006005,0.591541,0.002599,0.0003779239,-1.3991e-05,-0.000114009,7.6611e-06,3.4492e-06,4.39375e-05,0.0027063444,5.1546e-05,3.4289e-06,0.0026570639,-1.5968e-05,0.0025663862,4.424971,-1.424861,0.842909,0.571103,-0.184154,-0.789084,-0.131443
1403637151.33914,0.322832,-0.285348,0.34509,0.808901,-0.006648,0.587907,0.001015,0.0003725074,-6.6682e-06,-0.000115962,6.7388e-06,1.459e-06,4.33191e-05,0.0026619852,3.9787e-05,-1.4875e-06,0.0026051097,-7.8862e-06,0.0025617015,4.417866,-1.416734,0.85272,0.56852,-0.186171,-0.791198,-0.127007
1403637151.48932,0.357577,-0.288748,0.401486,-0.81396,0.009773,-0.580815,0.005285,0.00036263,-1.05083e-05,-0.0001219992,5.8408e-06,3.2894e-06,4.70843e-05,0.0026302218,5.14964e-05,-1.78975e-05,0.0025823466,-6.5919e-06,0.0025534864,4.398541,-1.392634,0.898022,0.563293,-0.190828,-0.795336,-0.117164
1403637151.53925,0.361487,-0.291087,0.418991,-0.814176,0.008076,-0.580546,0.004345,0.0003614248,-7.9789e-06,-0.0001225614,5.561e-06,2.4929e-06,4.75262e-05,0.0026158875,5.10031e-05,-1.50484e-05,0.0025872003,-4.7527e-06,0.0025529327,4.392821,-1.383954,0.91449,0.562356,-0.189982,-0.796169,-0.117382
1403637151.6394,0.372977,-0.309472,0.45997,-0.814321,0.005068,-0.58039,0.001656,0.0003613142,-4.3396e-06,-0.0001223019,5.3989e-06,1.2899e-06,4.73569e-05,0.0026210519,5.54813e-05,-1.54952e-05,0.0025917526,-4.0414e-06,0.0025564022,4.381979,-1.365286,0.944458,0.56139,-0.187174,-0.797148,-0.119844
1403637152.18947,0.463584,-0.428844,0.608582,-0.816739,0.001369,-0.577001,0.00224,0.0003599914,-2.05e-06,-0.0001240965,5.5673e-06,7.951e-07,4.8562e-05,0.0026899446,9.05657e-05,-1.59355e-05,0.0026245358,-4.8858e-06,0.0025775775,4.323518,-1.255097,1.05237,0.55827,-0.183872,-0.800104,-0.119828
1403637152.23924,0.500519,-0.43535,0.611597,-0.817842,0.000403,-0.575426,0.004357,0.0003578824,-3.6352e-06,-0.0001256185,5.3777e-06,1.4027e-06,4.97181e-05,0.0026752885,9.97806e-05,-1.51124e-05,0.0026336965,-6.637e-06,0.0025754426,4.318106,-1.245066,1.061977,0.557798,-0.18462,-0.800443,-0.118608
1403637152.28929,0.521305,-0.439492,0.619614,-0.818438,0.000288,-0.574578,0.004379,0.0003567523,-3.6489e-06,-0.0001266506,5.3214e-06,1.4187e-06,5.05345e-05,0.0026719288,0.0001049842,-1.48383e-05,0.0026444254,-7.0701e-06,0.0025757064,4.312471,-1.234722,1.069788,0.557324,-0.184839,-0.800771,-0.118284
1403637152.63925,0.589819,-0.521404,0.639395,-0.81878,-0.000313,-0.57409,0.004494,0.0003565065,-3.2263e-06,-0.0001270832,5.4021e-06,1.3321e-06,5.09056e-05,0.0027250944,0.0001414371,-1.52957e-05,0.0026861844,-1.03746e-05,0.0025867079,4.266432,-1.153468,1.081356,0.556836,-0.184171,-0.801293,-0.118083
1403637152.73893,0.642166,-0.541576,0.626964,-0.818012,-0.000649,-0.575166,0.006262,0.000357025,-3.7843e-06,-0.0001255682,5.1617e-06,1.5088e-06,4.96175e-05,0.0027182596,0.0001532397,-1.58041e-05,0.0026972796,-1.24678e-05,0.002583455,4.249506,-1.127306,1.076133,0.559108,-0.18441,-0.799664,-0.118021
1403637152.78871,0.660891,-0.55085,0.624959,-0.816877,0.000164,-0.576747,0.008631,0.0003574148,-5.9047e-06,-0.0001248265,5.1156e-06,2.2325e-06,4.8994e-05,0.002718225,0.0001634986,-1.7524e-05,0.002717044,-1.30076e-05,0.0025811678,4.24046,-1.113849,1.075122,0.561676,-0.185163,-0.797948,-0.116257
1403637152.83859,0.678825,-0.560897,0.626506,-0.815724,0.000412,-0.578367,0.009283,0.000358201,-6.4145e-06,-0.0001236946,5.0638e-06,2.3755e-06,4.80707e-05,0.0027208845,0.0001694269,-1.84197e-05,0.0027257885,-1.3333e-05,0.0025799459,4.231525,-1.099996,1.075588,0.563778,-0.185339,-0.79644,-0.116135
1403637153.08869,0.741852,-0.629055,0.662809,-0.813714,-0.002186,-0.581218,0.007076,0.0003601921,-3.7382e-06,-0.0001213538,4.9966e-06,1.4133e-06,4.62265e-05,0.0027608487,0.0001999523,-1.76065e-05,0.002760666,-1.44438e-05,0.0025851648,4.199502,-1.030977,1.102529,0.566666,-0.182205,-0.794654,-0.119233
1403637153.13862,0.758245,-0.645248,0.671051,-0.814659,-0.002876,-0.579894,0.006762,0.000359237,-3.2339e-06,-0.0001224788,4.916e-06,1.2387e-06,4.706e-05,0.0027647725,0.0002084801,-1.80194e-05,0.0027738017,-1.48121e-05,0.0025844755,4.194044,-1.016852,1.107763,0.565751,-0.181871,-0.795306,-0.119742
1403637153.48846,0.834821,-0.748216,0.699769,-0.81886,-0.007037,-0.573951,0.000109,0.0003558002,2.2034e-06,-0.0001269161,4.9072e-06,-6.688e-07,5.06501e-05,0.0028336702,0.0002589609,-1.54491e-05,0.0028270953,-1.66597e-05,0.0025920788,4.156562,-0.918557,1.116504,0.55922,-0.17901,-0.799758,-0.124962
1403637153.5883,0.869717,-0.773216,0.716204,-0.821569,-0.006954,-0.570067,0.000613,0.000353317,2.0461e-06,-0.0001297608,4.8438e-06,-6.491e-07,5.30354e-05,0.0028487455,0.0002755822,-1.60192e-05,0.002849238,-1.77195e-05,0.0025929159,4.145807,-0.892639,1.125408,0.556215,-0.179914,-0.80181,-0.123927
1403637153.63819,0.888813,-0.785467,0.72708,-0.822183,-0.007496,-0.569174,0.000277,0.0003524585,2.5138e-06,-0.0001306475,4.8051e-06,-8.433e-07,5.37932e-05,0.002854007,0.0002865398,-1.65175e-05,0.0028670191,-1.82436e-05,0.0025927697,4.139606,-0.879634,1.132416,0.55561,-0.179694,-0.802226,-0.124266
1403637153.83798,0.968145,-0.829799,0.77946,-0.818999,-0.007105,-0.573748,0.001929,0.0003556065,1.3369e-06,-0.0001269306,4.7402e-06,-4.187e-07,5.05752e-05,0.0028825953,0.0003187937,-1.633e-05,0.0029117484,-2.0127e-05,0.0025935552,4.11115,-0.830183,1.171285,0.56128,-0.179731,-0.798284,-0.124119
1403637153.88804,0.987301,-0.840052,0.79002,-0.818644,-0.007459,-0.574251,0.001453,0.0003554401,1.8243e-06,-0.0001270268,4.7209e-06,-5.995e-07,5.06475e-05,0.0028856137,0.0003343196,-1.58606e-05,0.0029416518,-1.98919e-05,0.0025938922,4.103904,-0.818311,1.178834,0.561838,-0.179465,-0.797841,-0.124819
1403637153.93804,1.00586,-0.849259,0.796553,-0.817726,-0.007665,-0.575555,0.000969,0.0003561019,2.2706e-06,-0.000126136,4.7102e-06,-7.562e-07,4.99056e-05,0.0028905099,0.0003443474,-1.4951e-05,0.0029566912,-1.98167e-05,0.0025942821,4.096681,-0.806721,1.184868,0.563051,-0.179077,-0.796948,-0.125614
1403637154.03805,1.040754,-0.868652,0.802788,-0.817621,-0.007089,-0.57571,0.001878,0.000356114,1.4661e-06,-0.0001260807,4.7033e-06,-4.653e-07,4.98667e-05,0.0029037086,0.0003630415,-1.32642e-05,0.0029872016,-1.97598e-05,0.0025963424,4.082037,-0.784558,1.19073,0.563383,-0.17967,-0.796714,-0.124763
1403637154.08815,1.057965,-0.877269,0.80188,-0.818671,-0.006169,-0.574219,0.003543,0.0003551304,-1.34e-08,-0.0001271927,4.6838e-06,6.37e-08,5.07878e-05,0.0029086917,0.000372352,-1.25422e-05,0.0030019807,-1.95961e-05,0.0025968303,4.074994,-0.773982,1.190413,0.562198,-0.181017,-0.797552,-0.122784
1403637154.1382,1.073229,-0.88397,0.797681,-0.821188,-0.003839,-0.570602,0.006991,0.0003527582,-3.0884e-06,-0.0001298683,4.6979e-06,1.2066e-06,5.30721e-05,0.0029141175,0.0003813564,-1.21253e-05,0.0030164644,-1.95771e-05,0.0025970935,4.067961,-0.763459,1.187699,0.559307,-0.183892,-0.799576,-0.118477
1403637154.18827,1.087944,-0.890752,0.79052,-0.824565,0.001459,-0.565596,0.013839,0.0003493708,-9.3955e-06,-0.000133317,4.9168e-06,3.6837e-06,5.61805e-05,0.0029179108,0.0003886142,-1.18833e-05,0.0030292527,-1.96476e-05,0.0025977169,4.060969,-0.752899,1.182971,0.555804,-0.189633,-0.801811,-0.110552
1403637154.538,1.205176,-0.967327,0.709552,-0.822239,0.005541,-0.568954,0.013513,0.0003509192,-1.10022e-05,-0.0001314928,5.0193e-06,4.2272e-06,5.4593e-05,0.0029983892,0.0004813255,-1.08569e-05,0.0031637483,-1.78039e-05,0.0026025597,4.007784,-0.647122,1.129695,0.558338,-0.192416,-0.799364,-0.110703
1403637154.58787,1.219003,-0.978194,0.691145,-0.82155,0.003766,-0.570056,0.008786,0.0003522049,-7.3373e-06,-0.0001302088,4.7847e-06,2.7933e-06,5.34143e-05,0.0029923915,0.0004787771,-1.23259e-05,0.0031582879,-1.60582e-05,0.0025989873,3.999824,-0.62725,1.121519,0.558166,-0.190419,-0.799299,-0.115375
1403637154.68813,1.256596,-1.005063,0.672347,0.824495,0.000808,0.565861,0.002836,0.0003496663,1.663e-06,-0.0001332241,4.5979e-06,-5.998e-07,5.60606e-05,0.0030158451,0.0005081015,-1.22615e-05,0.0031941979,-1.47761e-05,0.0025973176,3.983263,-0.586453,1.106009,0.551405,-0.186558,-0.803364,-0.125545
1403637154.88802,1.329538,-1.070789,0.632116,0.830704,-0.013316,0.556229,0.019045,0.0003432445,6.421e-06,-0.0001398521,4.691e-06,-2.6126e-06,6.23837e-05,0.0030678597,0.0005752579,-1.13115e-05,0.0032903866,-1.32148e-05,0.0025963937,3.943987,-0.503619,1.079849,0.53798,-0.200947,-0.806716,-0.139308
1403637154.93804,1.352125,-1.088305,0.627319,0.832476,-0.017651,0.553335,0.022165,0.0003416628,6.1658e-06,-0.0001414083,4.658e-06,-2.5491e-06,6.39433e-05,0.0030786272,0.0005815779,-1.07318e-05,0.0032918198,-1.26603e-05,0.0025956788,3.93173,-0.482531,1.075253,0.534488,-0.205525,-0.807441,-0.141848
1403637154.98807,1.375135,-1.104913,0.623792,0.832047,-0.023402,0.553719,0.02337,0.000341988,4.5548e-06,-0.0001411264,4.5795e-06,-1.8728e-06,6.36443e-05,0.0030936321,0.0006010942,-1.04056e-05,0.0033193252,-1.18594e-05,0.0025951069,3.917765,-0.460993,1.072809,0.53462,-0.210974,-0.805705,-0.143217
1403637155.63814,1.798262,-1.310685,0.653648,0.806939,-0.097705,0.57978,0.056199,0.0003601206,-8.7736e-06,-0.0001206714,4.8132e-06,2.9907e-06,4.57395e-05,0.0033382839,0.0009198673,-1.16876e-05,0.0038835875,-2.5646e-06,0.0026214113,3.677661,-0.176414,1.144663,0.552804,-0.277738,-0.764503,-0.181123
1403637155.68814,1.830873,-1.326775,0.647669,0.806841,-0.104621,0.578691,0.056383,0.0003592279,-1.15701e-05,-0.0001216101,4.9523e-06,3.9665e-06,4.64875e-05,0.0033573644,0.0009440129,-1.10988e-05,0.003932129,-2.628e-07,0.0026220721,3.65986,-0.155302,1.143114,0.551698,-0.284409,-0.762862,-0.181074
