timestamp,p_x,p_y,p_z,q_x,q_y,q_z,q_w,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33,gt_p_x,gt_p_y,gt_p_z,gt_q_w,gt_q_x,gt_q_y,gt_q_z
1403638539.62553,0.098703,0.008195,0.147399,0.823169,0.004752,0.567774,0.001582,0.0009054882,-1.48851e-05,-0.0002244954,0.0002906756,-1.15633e-05,0.0003584503,0.0034314604,4.11807e-05,3.36386e-05,0.0026151692,8.2418e-06,0.0028308144,4.647636,-1.612945,0.691079,0.19537,-0.774616,-0.277111,-0.533864
1403638539.6757,0.111384,0.008859,0.161817,0.823422,0.004869,0.567408,0.000543,0.0009360287,-9.1592e-06,-0.0002322438,0.0003095295,-1.79771e-05,0.0003897177,0.0031100477,2.92755e-05,7.15682e-05,0.0026550603,1.4355e-05,0.0028254587,4.651655,-1.609402,0.704397,0.196074,-0.774732,-0.277305,-0.533336
1403638539.87574,0.155588,0.010612,0.192314,-0.827122,-0.008162,-0.561962,0.001355,0.0010723761,-1.6281e-06,-0.0002494698,0.0004377834,-2.78595e-05,0.0005334468,0.0036508726,-4.0368e-06,0.0001939809,0.003262009,4.15978e-05,0.0030029138,4.668358,-1.592791,0.733502,0.194366,-0.777312,-0.281,-0.52825
1403638540.02574,0.194531,0.013528,0.208309,-0.834645,-0.008575,-0.550715,0.002859,0.0012075292,-6.9914e-06,-0.0002774557,0.0005544358,-3.37517e-05,0.0006711541,0.0051176432,-6.8026e-05,0.0002819274,0.0045462342,7.8129e-05,0.0031886969,4.68429,-1.576224,0.747905,0.191883,-0.784201,-0.283949,-0.517289
1403638540.07574,0.210072,0.014512,0.213504,-0.83759,-0.009182,-0.546217,0.002445,0.0012543633,-7.0303e-06,-0.0002876669,0.0005965433,-3.66654e-05,0.0007214185,0.0058753402,-0.0001045203,0.0003156746,0.0052305956,9.36108e-05,0.0032615222,4.690694,-1.569647,0.752211,0.189945,-0.786731,-0.28558,-0.513246
1403638540.12574,0.22735,0.015722,0.218296,-0.840529,-0.009079,-0.541684,0.002626,0.0013024356,-8.4083e-06,-0.0002979751,0.0006402248,-3.91114e-05,0.0007735541,0.0068090339,-0.0001510673,0.0003497044,0.0060841593,0.0001111821,0.0033402263,4.698212,-1.561875,0.756159,0.188613,-0.789492,-0.286408,-0.509019
1403638540.17573,0.245251,0.023197,0.223753,-0.841465,-0.010308,-0.540212,0.001374,0.0012404305,3.61921e-05,-0.0005528761,0.0006641304,5.79382e-05,0.0002856895,0.0077837124,0.0005979897,0.000415078,0.002753719,-2.06241e-05,0.0034186508,4.707094,-1.552799,0.76035,0.187741,-0.790266,-0.287366,-0.507596
1403638540.27884,0.216282,0.00224,0.255137,-0.829418,-0.011281,-0.558481,0.006145,0.0013380226,8.7147e-06,-0.0005906504,3.60382e-05,7.902e-07,0.0002758593,0.003283272,7.60558e-05,0.0002858748,0.0026232314,-0.0001056753,0.0032194959,4.729167,-1.530759,0.770746,0.189836,-0.785952,-0.286909,-0.513739
1403638540.32884,0.232396,0.001745,0.263391,-0.8257,-0.011546,-0.563957,0.006302,0.0014427612,-2.244e-06,-0.0005663971,3.84055e-05,5.7011e-06,0.0002377207,0.0033984909,8.06647e-05,0.0003294084,0.0026294451,-0.0001330745,0.0032925182,4.741851,-1.51817,0.776226,0.191411,-0.782869,-0.28607,-0.518313
1403638540.37884,0.248214,0.001284,0.270739,-0.822445,-0.012863,-0.568662,0.006441,0.0015104217,2.35e-08,-0.0005743086,4.0712e-05,5.0666e-06,0.0002343757,0.0035131522,9.19112e-05,0.0003656024,0.0026499576,-0.0001575354,0.0033622343,4.755082,-1.50488,0.780884,0.192857,-0.779639,-0.286299,-0.522498
