timestamp,p_x,p_y,p_z,q_x,q_y,q_z,q_w,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33,gt_p_x,gt_p_y,gt_p_z,gt_q_w,gt_q_x,gt_q_y,gt_q_z
1403715278.91032,0.021087,-0.013006,0.119728,-0.807086,0.006822,-0.590381,0.004038,0.0008389571,7.6297e-06,-9.88996e-05,0.0002519184,2.50558e-05,0.0002263811,0.0064885175,0.0014627686,-6.80191e-05,0.0040502145,-4.69632e-05,0.0028037937,0.938216,2.169273,1.043356,0.067404,-0.809726,-0.046721,-0.581049
1403715278.96081,0.07301,0.00995,0.117028,-0.808972,0.006265,-0.587813,0.000233,0.000383831,-2.7807e-06,-0.0001067398,2.52795e-05,1.8156e-06,5.16692e-05,0.0025687519,3.6628e-06,-1.78164e-05,0.0025538284,2.0876e-06,0.0026075216,0.945812,2.17285,1.061818,0.067143,-0.809063,-0.046858,-0.581991
1403715279.01076,0.081741,0.0114,0.131759,0.808937,-0.00542,0.587869,0.001124,0.0003778932,-4.226e-07,-0.0001115183,2.2246e-05,1.544e-07,5.06588e-05,0.0025677648,3.7348e-06,-1.26578e-05,0.0025518137,1.7325e-06,0.0025994482,0.952894,2.176038,1.076596,0.066258,-0.808749,-0.047453,-0.58248
1403715279.36087,0.126044,0.020264,0.129482,0.812227,-0.004088,0.58332,0.002887,0.0003661843,2.237e-07,-0.0001193559,9.7844e-06,-8.17e-08,4.61048e-05,0.0025588825,1.0006e-06,-1.1261e-05,0.0025515508,1.7817e-06,0.0025727077,0.989397,2.195151,1.07339,0.064391,-0.811272,-0.049604,-0.578991
1403715279.41104,0.13081,0.021287,0.126549,0.812331,-0.004615,0.583175,0.001915,0.0003636132,-4.58e-07,-0.0001201733,8.4078e-06,1.06e-07,4.62199e-05,0.002554894,1.828e-07,-7.2419e-06,0.0025483347,1.9596e-06,0.0025647715,0.992956,2.197192,1.071118,0.065373,-0.811411,-0.049162,-0.578725
1403715279.51124,0.136646,0.0224,0.125874,0.813549,-0.004581,0.581477,0.001128,0.0003619058,-1.2021e-06,-0.0001212309,7.3723e-06,2.778e-07,4.66176e-05,0.0025510709,3.8e-08,-2.6098e-06,0.0025467779,1.7704e-06,0.0025589481,0.999031,2.200065,1.069956,0.066102,-0.812367,-0.049127,-0.577302
1403715279.61083,0.143593,0.022525,0.12713,0.813554,-0.00396,0.581473,0.001902,0.0003608197,-3.945e-07,-0.0001219414,6.6611e-06,-1.3e-09,4.685e-05,0.0025484177,1.1e-09,7.944e-07,0.0025451583,1.4117e-06,0.0025547244,1.004178,2.202285,1.07367,0.065267,-0.812604,-0.049749,-0.57701
1403715279.66083,0.145736,0.02234,0.129526,0.813723,-0.003716,0.581238,0.001923,0.0003605021,-3.009e-07,-0.0001218096,6.2131e-06,-2.46e-08,4.6598e-05,0.0025472286,-1.073e-07,2.3781e-06,0.0025435471,1.2756e-06,0.0025515411,1.006211,2.202934,1.076846,0.065257,-0.812782,-0.050005,-0.576737
1403715279.76119,0.150304,0.021932,0.136945,0.813683,-0.003785,0.581294,0.001735,0.0003603537,-4.455e-07,-0.0001216821,5.7752e-06,3.19e-08,4.63569e-05,0.0025445164,-4.45e-08,4.7377e-06,0.0025421659,9.26e-07,0.0025473659,1.01003,2.203736,1.085741,0.065375,-0.812678,-0.049943,-0.576877
1403715279.8112,0.150347,0.020766,0.141497,0.813869,-0.004159,0.581031,0.00154,0.0003597463,-8.15e-07,-0.0001218452,5.4059e-06,1.815e-07,4.64066e-05,0.0025420901,-4.531e-07,5.4251e-06,0.0025392486,8.689e-07,0.0025433004,1.011399,2.203712,1.091298,0.065651,-0.812823,-0.049585,-0.576672
