timestamp,p_x,p_y,p_z,q_x,q_y,q_z,q_w,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33,gt_p_x,gt_p_y,gt_p_z,gt_q_w,gt_q_x,gt_q_y,gt_q_z
1403715528.85994,0.016948,0.021046,0.056871,0.816029,0.000143,0.577898,0.011473,0.0006641192,1.16889e-05,-0.0001706703,0.0001119102,5.5523e-06,0.0001806885,0.0027871857,9.81653e-05,9.01592e-05,0.0026531507,7.4423e-05,0.0027650025,0.545414,2.00392,1.037217,0.157003,0.790119,-0.217245,0.551241
1403715528.91083,0.011309,0.028313,0.066033,0.819168,-0.004998,0.5734,0.012267,0.0003707865,1.64008e-05,-0.0001233478,2.73477e-05,-4.297e-06,5.60539e-05,0.0025627486,8.8832e-06,6.2807e-06,0.0025267786,2.2603e-06,0.0025431513,0.550799,2.006002,1.049528,0.157726,0.789369,-0.217557,0.551986
1403715528.96074,0.013707,0.030428,0.076294,0.818997,-0.004546,0.573609,0.013975,0.0003652636,1.17094e-05,-0.0001281929,1.78491e-05,-3.7437e-06,5.58954e-05,0.0025364982,3.7262e-06,5.8629e-06,0.0025187154,2.066e-06,0.0025314962,0.556398,2.008574,1.06215,0.15881,0.789152,-0.217403,0.552045
1403715529.06045,0.022801,0.042466,0.100013,0.820962,-0.001967,0.570839,0.01268,0.0003646022,1.35127e-05,-0.0001298449,2.11889e-05,-4.3939e-06,5.85201e-05,0.0025330623,3.7808e-06,6.9287e-06,0.0025181173,3.068e-06,0.0025320688,0.568634,2.015493,1.087236,0.156861,0.791625,-0.215068,0.549973
1403715529.11097,0.028134,0.049686,0.113798,0.821029,0.000518,0.570812,0.009249,0.0003652001,1.30471e-05,-0.0001298263,2.1047e-05,-2.8287e-06,5.82577e-05,0.0025312648,3.7002e-06,7.0433e-06,0.0025181672,3.6847e-06,0.0025323541,0.575431,2.020102,1.101942,0.153019,0.792451,-0.212609,0.550822
1403715529.16076,0.032803,0.057829,0.129669,0.821546,0.005245,0.570099,0.00476,0.0003651088,1.26729e-05,-0.000129718,2.1661e-05,-2.861e-06,5.86753e-05,0.0025305844,3.4422e-06,7.3932e-06,0.002518507,4.2192e-06,0.002532676,0.582649,2.02541,1.119095,0.148597,0.793952,-0.208175,0.551565
1403715529.2103,0.037898,0.066259,0.147519,-0.822741,-0.010921,-0.568312,2.3e-05,0.0003644383,1.2167e-05,-0.000131209,2.20489e-05,-3.0112e-06,6.03485e-05,0.0025310924,3.3284e-06,7.9243e-06,0.0025192678,4.8547e-06,0.0025330957,0.59026,2.030916,1.138285,0.143402,0.796504,-0.202801,0.551263
1403715529.26004,0.04345,0.074825,0.166472,-0.824495,-0.017667,-0.565571,0.005127,0.0003629573,1.16707e-05,-0.0001334298,2.20095e-05,-3.2495e-06,6.25853e-05,0.0025328273,3.2711e-06,8.6032e-06,0.0025205306,5.5771e-06,0.0025335319,0.598429,2.036416,1.158659,0.137755,0.799884,-0.196472,0.550098
1403715529.31066,0.047848,0.083346,0.185594,-0.825609,-0.026057,-0.563535,0.010941,0.0003604097,1.08385e-05,-0.0001355463,2.0446e-05,-3.6568e-06,6.43339e-05,0.0025355196,3.218e-06,9.5027e-06,0.0025221044,6.4756e-06,0.0025336463,0.606953,2.042164,1.178784,0.132045,0.80358,-0.189041,0.548715
1403715529.51307,0.072761,0.121768,0.255681,-0.82442,-0.059762,-0.562004,0.030182,0.000355468,1.12379e-05,-0.0001392765,1.19264e-05,-4.3593e-06,6.39139e-05,0.0025475829,3.1517e-06,1.11086e-05,0.0025270396,6.7396e-06,0.0025253355,0.647544,2.06482,1.241749,0.113807,0.812649,-0.156467,0.549698
1403715529.6129,0.089726,0.141062,0.273774,-0.822871,-0.070609,-0.562648,0.036411,0.0003580847,1.2006e-05,-0.000135433,1.20404e-05,-4.8865e-06,6.06595e-05,0.0025581541,2.8879e-06,1.34723e-05,0.0025329305,9.0561e-06,0.0025269532,0.671485,2.075507,1.261211,0.108139,0.813753,-0.145595,0.552191
1403715529.66265,0.102205,0.15227,0.28108,-0.821917,-0.07394,-0.563497,0.03817,0.0003580829,1.20528e-05,-0.0001341061,1.15609e-05,-5.0678e-06,5.91541e-05,0.0025608022,5.439e-07,1.3198e-05,0.0025336122,9.1389e-06,0.0025275135,0.684245,2.080816,1.268489,0.106095,0.813505,-0.141272,0.554073
1403715529.71278,0.111126,0.164015,0.286589,-0.820414,-0.079137,-0.564932,0.038843,0.0003586461,1.37629e-05,-0.0001334632,1.11668e-05,-5.5293e-06,5.83733e-05,0.0025663123,2.388e-07,1.35577e-05,0.0025365737,9.9535e-06,0.0025285056,0.697747,2.086398,1.275535,0.105608,0.81346,-0.136173,0.555506
1403715529.96237,0.148959,0.224753,0.33358,-0.81476,-0.090403,-0.570575,0.049363,0.0003609374,1.10736e-05,-0.0001300318,8.0093e-06,-3.3996e-06,5.38871e-05,0.002583607,2.1676e-06,1.36673e-05,0.002549465,1.21347e-05,0.0025333898,0.772285,2.120046,1.323772,0.097704,0.81158,-0.126034,0.562056
1403715530.01256,0.158474,0.240597,0.346719,-0.812463,-0.091943,-0.57365,0.048741,0.0003635205,1.23252e-05,-0.0001265067,7.1878e-06,-3.7068e-06,5.07029e-05,0.0025808816,3.0973e-06,1.2905e-05,0.002549426,1.22697e-05,0.002534447,0.788099,2.127545,1.336852,0.098534,0.809826,-0.123941,0.5649
1403715530.21263,0.195719,0.305952,0.411682,-0.805769,-0.101343,-0.582282,0.037594,0.0003656667,2.32699e-05,-0.0001208196,7.3647e-06,-7.4356e-06,4.60687e-05,0.0025957509,-2.56e-06,1.36973e-05,0.0025618011,1.56535e-05,0.0025412691,0.849548,2.165016,1.401316,0.111059,0.805546,-0.113272,0.570904
1403715530.26284,0.203285,0.326832,0.432384,-0.807768,-0.103085,-0.57945,0.033487,0.0003629024,2.61971e-05,-0.0001233066,7.4554e-06,-8.7147e-06,4.79255e-05,0.00259771,-5.1355e-06,1.36979e-05,0.0025636819,1.76381e-05,0.0025432081,0.864036,2.177628,1.422437,0.113806,0.807966,-0.111867,0.567209
1403715530.31251,0.207193,0.350003,0.45563,-0.809244,-0.104338,-0.577323,0.030585,0.0003604756,2.78939e-05,-0.0001252053,7.4527e-06,-9.585e-06,4.9258e-05,0.0025974443,-1.05685e-05,1.36778e-05,0.002560476,1.89795e-05,0.0025433289,0.878712,2.192032,1.447542,0.115702,0.809857,-0.111038,0.564283
1403715530.36264,0.212311,0.374906,0.48535,-0.810778,-0.1028,-0.575373,0.03189,0.0003593045,2.62103e-05,-0.0001265894,7.104e-06,-9.1617e-06,5.03342e-05,0.0026027635,-1.32732e-05,1.35111e-05,0.0025619419,2.00095e-05,0.0025443492,0.893599,2.20816,1.475806,0.113983,0.810966,-0.11301,0.562646
1403715530.46238,0.219963,0.422088,0.549901,-0.812708,-0.100076,-0.572592,0.040364,0.0003581825,1.99093e-05,-0.0001286566,6.2365e-06,-7.0815e-06,5.1935e-05,0.0026208597,-1.89198e-05,1.28454e-05,0.0025667534,2.08092e-05,0.0025455831,0.924487,2.245461,1.541009,0.105867,0.812188,-0.116974,0.561658
1403715530.66221,0.228573,0.517535,0.6656,-0.811666,-0.107714,-0.57129,0.056786,0.0003581986,1.36251e-05,-0.0001291677,5.5767e-06,-4.9308e-06,5.22267e-05,0.0026669193,-3.05928e-05,1.27468e-05,0.002578385,2.4636e-05,0.002550976,0.988997,2.332073,1.664157,0.090774,0.813574,-0.109861,0.563727
1403715530.71217,0.229169,0.542564,0.688293,-0.811015,-0.109887,-0.571388,0.060779,0.0003584807,1.14805e-05,-0.000128444,5.1536e-06,-4.2235e-06,5.14482e-05,0.0026639859,-3.59752e-05,8.4047e-06,0.0025705981,2.11002e-05,0.0025467589,1.004923,2.355101,1.687251,0.087272,0.813635,-0.107672,0.564614
1403715530.76222,0.232242,0.567487,0.709017,-0.810718,-0.113225,-0.570661,0.065288,0.0003585336,1.01394e-05,-0.000128473,5.0197e-06,-3.7896e-06,5.13933e-05,0.0026753443,-3.93438e-05,7.5695e-06,0.0025700403,2.10592e-05,0.0025478781,1.021135,2.378709,1.708639,0.082912,0.814167,-0.104231,0.56515
1403715530.81218,0.232279,0.591794,0.728567,-0.810116,-0.118438,-0.569777,0.07099,0.0003583186,8.8365e-06,-0.0001288069,4.8656e-06,-3.3899e-06,5.15716e-05,0.002686114,-4.45595e-05,6.2903e-06,0.0025672296,1.94804e-05,0.0025481542,1.037553,2.403076,1.729544,0.077575,0.815029,-0.099067,0.565594
1403715531.06188,0.246283,0.738724,0.824915,-0.814964,-0.1461,-0.553485,0.090234,0.0003501206,6.5277e-06,-0.0001388243,4.7233e-06,-2.8597e-06,6.03767e-05,0.0027646591,-6.08086e-05,4.6768e-06,0.0025723912,2.21974e-05,0.0025578682,1.121152,2.525826,1.826511,0.054526,0.826652,-0.073708,0.555194
