timestamp,p_x,p_y,p_z,q_x,q_y,q_z,q_w,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33,gt_p_x,gt_p_y,gt_p_z,gt_q_w,gt_q_x,gt_q_y,gt_q_z
1403715893.83953,-0.039772,0.034914,0.097166,0.808141,0.004785,0.588953,0.004549,0.0005799884,4.86351e-05,-0.0001512943,0.0001287971,5.2952e-06,0.0001953777,0.0027566885,1.48837e-05,5.38908e-05,0.0026727949,0.000113705,0.0027581907,0.887467,2.047323,1.004631,0.036468,0.808193,-0.054514,0.585255
1403715893.88614,-0.040346,0.033121,0.100686,0.814725,0.002589,0.579787,0.007993,0.0003733514,9.6601e-06,-0.0001177684,1.49564e-05,-2.9421e-06,5.16051e-05,0.0025466346,-9.491e-07,-3.2138e-06,0.0025352133,1.11064e-05,0.002540637,0.884099,2.051205,1.011307,0.036215,0.81148,-0.055174,0.580642
1403715893.93458,-0.047013,0.038062,0.110025,0.818045,0.001722,0.575089,0.00847,0.000369425,1.09357e-05,-0.0001225941,1.47113e-05,-3.5033e-06,5.52911e-05,0.0025418719,-2.0244e-06,-3.716e-06,0.0025349088,1.21959e-05,0.0025414393,0.879964,2.055963,1.019874,0.035969,0.813738,-0.055779,0.57743
1403715893.98458,-0.047201,0.042957,0.120862,0.82179,0.001123,0.569746,0.007045,0.0003621551,9.0823e-06,-0.0001286902,1.33967e-05,-4.0126e-06,5.86137e-05,0.002536313,-9.915e-07,-1.6394e-06,0.0025338846,1.14365e-05,0.0025383235,0.875433,2.061184,1.02848,0.036009,0.817247,-0.056304,0.5724
1403715894.03438,-0.049225,0.048855,0.132502,0.82653,-4.6e-05,0.56285,0.00696,0.0003576187,7.7739e-06,-0.0001339244,1.39249e-05,-3.4961e-06,6.22844e-05,0.002534192,-1.245e-06,-1.046e-06,0.0025340326,1.24969e-05,0.0025387205,0.870873,2.06666,1.037267,0.035726,0.821497,-0.057292,0.566201
1403715894.0837,-0.051097,0.055311,0.14323,0.831687,-0.000442,0.555184,0.008222,0.0003526312,8.3988e-06,-0.0001394819,1.38342e-05,-3.6107e-06,6.67646e-05,0.0025319503,-1.6643e-06,-6.814e-07,0.0025346773,1.364e-05,0.0025392976,0.867047,2.07244,1.045634,0.036091,0.826203,-0.057488,0.559268
1403715894.18247,-0.050761,0.069628,0.165215,0.831886,0.004183,0.554643,0.017853,0.0003515326,1.65838e-05,-0.0001410386,1.36485e-05,-6.6463e-06,6.67215e-05,0.0025294529,-2.0483e-06,3.07e-07,0.0025373794,1.60558e-05,0.0025401232,0.861451,2.084661,1.065008,0.044921,0.826452,-0.052447,0.558756
1403715894.23251,-0.049098,0.078093,0.17872,0.827835,0.007399,0.560447,0.023101,0.0003541518,2.14803e-05,-0.0001380763,1.32737e-05,-8.2314e-06,6.29467e-05,0.0025297089,-1.6669e-06,1.2829e-06,0.0025392543,1.75032e-05,0.0025405152,0.860269,2.091486,1.078411,0.050371,0.823624,-0.049212,0.562748
1403715894.28274,-0.047907,0.087461,0.193765,0.823739,0.01196,0.566076,0.029488,0.000357221,2.72057e-05,-0.0001335789,1.27363e-05,-9.9271e-06,5.84772e-05,0.002530621,-1.0408e-06,2.2357e-06,0.002541271,1.86517e-05,0.0025401796,0.85971,2.099378,1.094014,0.056863,0.820761,-0.044961,0.566654
1403715894.33394,-0.048106,0.095303,0.209407,0.818923,0.018369,0.57268,0.032639,0.0003565542,3.00002e-05,-0.0001298122,1.01983e-05,-1.07433e-05,5.49086e-05,0.0025307549,-1.177e-06,2.2744e-06,0.0025405606,1.75163e-05,0.002536299,0.859637,2.108616,1.111135,0.062287,0.819198,-0.041491,0.568608
1403715894.58398,-0.053977,0.17834,0.286669,0.823033,0.015826,0.566566,0.037004,0.0003547745,3.12529e-05,-0.0001319488,9.0218e-06,-1.16108e-05,5.59971e-05,0.002543281,3.0592e-06,6.5564e-06,0.0025562229,2.58892e-05,0.0025372398,0.861411,2.180511,1.184409,0.065418,0.823235,-0.043938,0.562204
