protocol,fold_id,test_environment,fit_trajectories,calibration_trajectories,test_trajectory,covariance_input,method,agaci_aggregation,alpha,target_coverage,n_calibration,n_test,coverage,absolute_coverage_gap,median_log_6d_volume,mean_log_6d_volume,median_log_task_volume_m3,mean_log_task_volume_m3,coverage_per_median_volume,mean_radius,mean_effective_alpha,rolling_coverage_mae_100,longest_miss_streak
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,ACI,none,0.01,0.99,2212,2669,0.7426002248032971,0.24739977519670286,-5.052042171829704,-5.189442133786615,3.3945397111835884,3.2402427769661903,116.099169726737,25.400451291473992,0.0309751592356691,0.269696498054475,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.01,0.99,2212,2669,0.7433495691270139,0.2466504308729861,-5.10263940507966,-5.4558517995470455,3.3543336141397937,3.1070379440859757,122.24785027281929,24.401412512407447,0.0819279755197694,0.26897276264591463,219
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,ACI,none,0.05,0.95,2212,2669,0.7268639940052454,0.22313600599475458,-5.479953579398703,-5.860121141426034,3.148121174374573,2.904903273146481,174.32784307992998,22.940274192836476,0.14400936680404647,0.28922178988326863,219
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.05,0.95,2212,2669,0.7313600599475459,0.21863994005245402,-5.643537909697486,-6.646154035300328,3.0426936350842677,2.511886826209334,206.58016127448917,20.979659304853893,0.22740077289474092,0.28152918287937767,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,ACI,none,0.1,0.9,2212,2669,0.6905207943049831,0.20947920569501688,-5.662520450530586,-6.314463099748305,3.0325374956466824,2.677732293985346,198.78249932754508,21.657866881196462,0.19976582989883868,0.29126848249027254,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.1,0.9,2212,2669,0.701386286998876,0.19861371300112407,-5.834423454525005,-6.904925520774736,2.9414668898888294,2.38250108347213,239.78122908629942,20.273686062114265,0.26329634766192633,0.28641245136186794,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,ACI,none,0.2,0.8,2212,2669,0.6129636568002997,0.1870363431997003,-5.977179925460245,-6.832805270740424,2.932483075445198,2.418561208489286,241.70797756317052,20.40366812085823,0.257288872236793,0.291136186770428,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.2,0.8,2212,2669,0.6425627575871112,0.1574372424128888,-6.027249660685481,-7.101268528339433,2.8959350721937103,2.2843295796897816,266.38932615585287,19.76273782500326,0.28812005132746765,0.27284824902723753,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,ACI,none,0.4,0.6,2212,2669,0.45934807043836645,0.14065192956163353,-6.237144265510288,-7.2519701176779385,2.8810144876851487,2.2089787850205287,234.90877154988186,19.385836765334076,0.3048939677781943,0.2442062256809339,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.4,0.6,2212,2669,0.48220307231172727,0.11779692768827271,-6.163078148518391,-7.257172011581706,2.869678197676256,2.206377838068645,228.99226065345113,19.38811164103894,0.30414912312289605,0.20432684824902733,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,ACI,none,0.5,0.5,2212,2669,0.3836642937429749,0.1163357062570251,-6.309192059533217,-7.337234106959418,2.8625088974292243,2.1663467903797895,210.86217388910603,19.175458104970826,0.31366429374297505,0.21551750972762654,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.5,0.5,2212,2669,0.3859123267141251,0.11408767328587488,-6.218474007390764,-7.305556902239032,2.856455295418952,2.1821853927399824,193.70355806865192,19.26992808427297,0.3089206059962523,0.17649027237354092,218
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,ACI,none,0.01,0.99,2212,2669,0.9778943424503559,0.0121056575496441,-11.809852169496745,-11.731350423424075,-1.6651967984299416,-1.625945925393607,131596.87092288665,2.983356499195595,0.027168714874485248,0.018622568093385316,13
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,AgACI-EWA,exponential_weights,0.01,0.99,2212,2669,0.989883851629824,0.00011614837017603907,-11.735875179233185,-11.806726010183375,-1.6282083032981616,-1.6636337187732568,123711.4992572618,2.946496397140192,0.04069425974324094,0.015692607003891457,15
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,ACI,none,0.05,0.95,2212,2669,0.9273136005994754,0.022686399400524526,-12.10251128158443,-12.19030303199398,-1.8115263544737843,-1.855422229678559,167217.02643321833,2.7743084828571325,0.06854683402023241,0.043727626459144034,21
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,AgACI-EWA,exponential_weights,0.05,0.95,2212,2669,0.9692768827276134,0.01927688272761341,-12.092300189892315,-12.221440541007128,-1.8064208086277267,-1.8709909841851327,173008.36461275493,2.7646819481186484,0.08286896954303073,0.051556420233463414,14
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,ACI,none,0.1,0.9,2212,2669,0.870738104158861,0.02926189584113903,-12.225334787774166,-12.31825223204511,-1.8729381075686513,-1.9193968297041244,177534.59251916665,2.717576219753515,0.08513787935556401,0.06019455252918292,35
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,AgACI-EWA,exponential_weights,0.1,0.9,2212,2669,0.9348070438366429,0.034807043836642904,-12.175006921031773,-12.321630998648024,-1.8477741741974558,-1.92108621300558,181242.60643694387,2.7221269021549475,0.09695399600441833,0.08115564202334663,23
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,ACI,none,0.2,0.8,2212,2669,0.7680779318096665,0.0319220681903335,-12.442025509203901,-12.441483381589572,-1.9812834682835199,-1.9810124044763555,194494.9410996286,2.666053183717625,0.10434844511052845,0.07166926070038912,40
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,AgACI-EWA,exponential_weights,0.2,0.8,2212,2669,0.839640314724616,0.03964031472461593,-12.308872835483367,-12.40501340022867,-1.9147071314232527,-1.9627774137959049,186109.6248290012,2.6868843713829627,0.10866433094185163,0.09240077821011701,32
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,ACI,none,0.4,0.6,2212,2669,0.5777444735856125,0.02225552641438744,-12.524161305129693,-12.586233080746531,-2.022351366246416,-2.053387254054835,158821.73835782113,2.6028719759087062,0.12430348445110548,0.0700856031128405,62
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,AgACI-EWA,exponential_weights,0.4,0.6,2212,2669,0.6279505432746347,0.027950543274634754,-12.463263812940786,-12.531035576931266,-1.9919026201519623,-2.0257885021472024,162424.72531187336,2.6312584820690668,0.12599109927057509,0.07528404669260715,39
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,ACI,none,0.5,0.5,2212,2669,0.4814537279880105,0.018546272011989495,-12.580709598583256,-12.67053442641392,-2.0506255129731974,-2.0955379268885297,140051.35370460502,2.566095219576223,0.13645185462720122,0.07058754863813232,74
same_environment,same_environment:OV_MH_01_easy,MH,OV_MH_03_medium|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_02_easy,OV_MH_01_easy,empirical_full_6d,AgACI-EWA,exponential_weights,0.5,0.5,2212,2669,0.5031847133757962,0.0031847133757961776,-12.494194444428981,-12.592036101865686,-2.0073679358960597,-2.056288764614412,134241.6068418326,2.605933916110391,0.13389789854526868,0.054140077821011746,46
same_environment,same_environment:OV_MH_02_easy,MH,OV_MH_01_easy|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_03_medium,OV_MH_02_easy,openvins_full_6d,ACI,none,0.01,0.99,2245,2212,0.9593128390596745,0.03068716094032553,-6.230049270534597,3.2714237285683945,2.573686748345686,7.332633490146628,487.12035450949367,1014.719434738587,0.019652531645569776,0.04140558447704685,4
same_environment,same_environment:OV_MH_02_easy,MH,OV_MH_01_easy|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_03_medium,OV_MH_02_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.01,0.99,2245,2212,0.8933092224231465,0.09669077757685351,-6.404653711997881,1.104950184789107,2.472002924773102,6.249396718256983,540.1415461247477,792.101084541151,0.04535373528046156,0.1093989588263133,1
same_environment,same_environment:OV_MH_02_easy,MH,OV_MH_01_easy|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_03_medium,OV_MH_02_easy,openvins_full_6d,ACI,none,0.05,0.95,2245,2212,0.8539783001808319,0.09602169981916808,-6.791208222833873,0.37738835451047503,2.3151245195641117,5.885615803117667,760.0306243707047,763.1514169962068,0.08685533453887889,0.1401987695220066,16
same_environment,same_environment:OV_MH_02_easy,MH,OV_MH_01_easy|OV_MH_04_difficult|OV_MH_05_difficult,OV_MH_03_medium,OV_MH_02_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.05,0.95,2245,2212,0.8128390596745028,0.1371609403254972,-7.009838053650093,-2.05024345809144,2.327615430896759,4.67179989681671,900.1990504520775,613.7055243968592,0.20946150529235943,0.17960719356365354,25
