protocol,covariance_input,method,alpha,target_coverage,coverage_mean,coverage_std,absolute_coverage_gap_mean,median_log_6d_volume_mean,median_log_task_volume_m3_mean,rolling_coverage_mae_100_mean,longest_miss_streak_mean,folds,coverage_pooled
cross_environment,empirical_full_6d,ACI,0.01,0.99,0.8814699021001356,0.22916538759474725,0.1187554779448949,-8.905903596869766,-1.314388996329862,0.12399747483991543,102.27272727272727,11,0.8992077464788732
cross_environment,empirical_full_6d,ACI,0.05,0.95,0.8483662254193952,0.22753247048322972,0.12362918179450148,-11.011925837129803,-2.3674001164598804,0.15233604556033858,110.18181818181819,11,0.8647887323943662
cross_environment,empirical_full_6d,ACI,0.1,0.9,0.8010563273867987,0.21745510180568192,0.11875084078160449,-11.813239660173725,-2.7680570279818415,0.16639307298977846,114.0909090909091,11,0.8165933098591549
cross_environment,empirical_full_6d,ACI,0.2,0.8,0.7083960974737825,0.1942768466002171,0.10647093762401293,-12.181443084790516,-2.9521587402902365,0.17244653666302315,117.72727272727273,11,0.7222271126760563
cross_environment,empirical_full_6d,ACI,0.4,0.6,0.5266365811026573,0.14364057760757626,0.08050523167366429,-12.494299033841735,-3.1085867148158455,0.16137370435186316,137.1818181818182,11,0.5367517605633803
cross_environment,empirical_full_6d,ACI,0.5,0.5,0.4364723994754737,0.11726705693619487,0.0681641798688601,-12.61319422517573,-3.1680343104828426,0.15295157889613906,150.63636363636363,11,0.4446742957746479
cross_environment,empirical_full_6d,AgACI-EWA,0.01,0.99,0.8843175015823861,0.22729142603235317,0.11604148217033218,-10.68430909836887,-2.2035917470794133,0.12228581687957982,103.0,11,0.9024207746478873
cross_environment,empirical_full_6d,AgACI-EWA,0.05,0.95,0.8603432547282496,0.22328621795825696,0.1166459517922827,-11.933120986943727,-2.8279976913668423,0.13668727633197303,103.9090909090909,11,0.8788732394366198
cross_environment,empirical_full_6d,AgACI-EWA,0.1,0.9,0.8236890441827412,0.22254532341785818,0.12576252781462863,-12.141209744248453,-2.9320420700192042,0.14637613941406355,105.18181818181819,11,0.8419894366197183
cross_environment,empirical_full_6d,AgACI-EWA,0.2,0.8,0.7521574969795893,0.2181735401274563,0.14183534041336707,-12.30184151265219,-3.012357954221073,0.16492865548132696,108.27272727272727,11,0.7683538732394366
cross_environment,empirical_full_6d,AgACI-EWA,0.4,0.6,0.5601829963593555,0.15693813832856657,0.09786525136444152,-12.456387262821954,-3.089630829305955,0.13495359158651987,116.0909090909091,11,0.5701144366197183
cross_environment,empirical_full_6d,AgACI-EWA,0.5,0.5,0.44690913991485554,0.11435043455173959,0.0638124868182295,-12.536735502173833,-3.1298049489818953,0.11167798095910354,124.54545454545455,11,0.4549735915492958
cross_environment,openvins_full_6d,ACI,0.01,0.99,0.9872972599148916,0.021039066111726124,0.013530842939937358,-2.215270061648979,4.708967389309193,0.018849264629926473,1.0,11,0.9856514084507042
cross_environment,openvins_full_6d,ACI,0.05,0.95,0.947702174248423,0.05106745813027914,0.034484306729315434,-4.4556244865091434,3.620982115037195,0.062342647179987117,7.909090909090909,11,0.9433098591549296
cross_environment,openvins_full_6d,ACI,0.1,0.9,0.898284454630195,0.05295624944381811,0.03624810502964327,-5.536869156987991,3.0436589288651166,0.08753230491585856,18.818181818181817,11,0.8933978873239437
cross_environment,openvins_full_6d,ACI,0.2,0.8,0.7985770590151854,0.0447965060868202,0.03191098681991848,-6.1399792143420475,2.6880831364703535,0.10411881215920311,37.54545454545455,11,0.7944542253521126
cross_environment,openvins_full_6d,ACI,0.4,0.6,0.5990175147160189,0.02411714655064191,0.020144802835461596,-6.566358934447897,2.444693258193457,0.10341841914057458,63.81818181818182,11,0.5971390845070422
cross_environment,openvins_full_6d,ACI,0.5,0.5,0.49876247607246654,0.016841276134967654,0.015007944278886536,-6.746387897202859,2.3540038705666095,0.10009211944595044,78.0,11,0.4979753521126761
