sequence,alignment_mode,alignment_fraction,n_calibration,n_test,quantile,test_6d_coverage,all_position_rmse_m,test_position_rmse_m,test_position_max_m,test_rotation_rmse_deg,trajectory_status
MH_01_easy_merged,initial_block,0.2,295,296,57.27335738220135,1.0,0.12381287698298009,0.13137630300173408,0.23063802272287084,1.2161238759399882,nominal
MH_01_easy_merged,full_trajectory,0.2,295,296,53.499898048486465,1.0,0.08586691992147912,0.0682140538417685,0.1376166774954692,1.510087258262721,nominal
MH_02_easy_merged,initial_block,0.2,385,386,379.81466990044646,1.0,4279.002801184899,7396.973332546165,11112.128365602237,149.37173141977968,diverged
MH_02_easy_merged,full_trajectory,0.2,385,386,154.98273310689774,1.0,3170.605155433316,4711.578812094592,8273.845553046374,91.72697642024812,diverged
MH_03_medium_merged,initial_block,0.2,239,240,41.02326543951229,1.0,0.23537155931354256,0.18633822145378878,0.3203300965675607,0.8386780655382776,nominal
MH_03_medium_merged,full_trajectory,0.2,239,240,20.189107506370608,1.0,0.21282097004267672,0.1315783109229998,0.22442719059618538,0.3736967770193492,nominal
MH_05_difficult_merged,initial_block,0.2,178,179,67.01562921021105,0.0,0.9954756560048071,1.0639464414172914,1.3391026121315244,4.117818197705453,nominal
MH_05_difficult_merged,full_trajectory,0.2,178,179,23.658022222736147,0.0,0.6936251532245059,0.46272943567394237,0.6761578677579351,1.9957366979005569,nominal
V1_01_easy_merged,initial_block,0.2,330,331,199.53631732294744,0.2688821752265861,0.122416868603928,0.15998451190644303,0.2765726115044628,8.863710061949547,nominal
V1_01_easy_merged,full_trajectory,0.2,330,331,142.6417917598904,0.1903323262839879,0.068748274878881,0.06805853815215353,0.1481558977273424,6.188245807295085,nominal
V1_02_medium_merged,initial_block,0.2,218,219,95.3972215154066,0.6757990867579908,0.22469595694371822,0.30709030029794726,0.37733096670518046,2.4176190258772703,nominal
V1_02_medium_merged,full_trajectory,0.2,218,219,62.42101682632822,0.6529680365296804,0.13928627421269904,0.13909547653652943,0.20554399579041852,1.6584144441752136,nominal
V1_03_difficult_merged,initial_block,0.2,250,251,76.67658149335566,0.24302788844621515,0.1631570390778211,0.18750118021024412,0.25976341915804063,3.556336251375488,nominal
V1_03_difficult_merged,full_trajectory,0.2,250,251,92.06817329246633,0.2868525896414343,0.1034182191966367,0.10843614155639499,0.17677443132291057,4.305746992139477,nominal
V2_01_easy_merged,initial_block,0.2,190,190,83.36365534913426,0.9421052631578948,0.4796573754116046,0.8064931757106395,2.2313602241333443,2.6079209070292397,nominal
V2_01_easy_merged,full_trajectory,0.2,190,190,140.12440697980983,1.0,0.4289548790960177,0.6847065193640242,2.0665347359001336,5.0750491210806965,nominal
V2_02_medium_merged,initial_block,0.2,229,230,87.03939969994195,0.8173913043478261,0.34911262739222854,0.47064117003546835,0.5960567050705129,2.5002044390605263,nominal
V2_02_medium_merged,full_trajectory,0.2,229,230,88.22784345772112,0.8304347826086956,0.2067908825733158,0.20672905243109105,0.3389412833589116,2.4619680989950075,nominal
V2_03_difficult_merged,initial_block,0.2,212,213,563.8965963872716,0.8591549295774648,3.5255077026087105,3.8119085850948475,5.001120457259795,18.143144640531705,nominal
V2_03_difficult_merged,full_trajectory,0.2,212,213,391.5728469779741,0.8309859154929577,1.7782401205232639,0.9640483650147355,1.81601412931422,13.716887040569695,nominal
