protocol,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,trajectory_mean_coverage,trajectory_std_coverage,minimum_trajectory_coverage,geometric_mean_median_volume_m3,geometric_mean_p90_volume_m3,rolling_coverage_mae_100,longest_miss_streak,folds,sample_pooled_coverage,coverage_shortfall
cross_environment,correlation_shrink_0.75,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9008768420652117,0.03134751007185854,0.8233665559246954,1.7587041667291365,16.72037834776551,0.058455130801714,24.0,11,0.9005281690140845,0.0
cross_environment,correlation_shrink_0.50,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9146644895662764,0.017365164993545307,0.8842746400885936,1.9765809382553128,20.63578931540885,0.049096998631469234,11.181818181818182,11,0.9150528169014085,0.0
cross_environment,correlation_shrink_0.50,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9119071526799544,0.017606449894330717,0.8765227021040974,2.152785997600242,19.181437300156833,0.04994976686579933,10.454545454545455,11,0.9121919014084507,0.0
cross_environment,correlation_shrink_0.25,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9173286272556123,0.021179751810795844,0.8835748792270531,2.6777364709739704,21.78763997769428,0.04782664319597729,10.090909090909092,11,0.9175176056338028,0.0
cross_environment,correlation_shrink_0.25,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9056303373984241,0.05473529741385993,0.751207729468599,2.6940563111495925,19.36711212017019,0.05879575751788438,13.909090909090908,11,0.9059419014084507,0.0
cross_environment,correlation_shrink_0.75_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9148265255187602,0.018555600188325586,0.8817442719881744,3.0309855002324344,22.42461562812244,0.044742726036245815,12.181818181818182,11,0.913512323943662,0.0
cross_environment,correlation_shrink_0.75_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9098600497486746,0.030910399637281035,0.8296378418329637,3.154510322280086,24.31074148290123,0.04774044921517274,16.09090909090909,11,0.9069982394366197,0.0
cross_environment,correlation_shrink_0.50_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9166599774403786,0.016280876011715236,0.8974358974358975,3.6598583716344253,25.462850205406323,0.043148603156909174,9.090909090909092,11,0.9165492957746478,0.0
cross_environment,correlation_shrink_0.50_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9188527404263508,0.016238738058579328,0.8977323254779902,3.903060988036485,23.063236070091875,0.04404031041134867,8.909090909090908,11,0.9187059859154929,0.0
cross_environment,correlation_shrink_0.25,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.9037952802274696,0.02615700923515075,0.8560386473429952,4.382744976341071,44.049732008886714,0.07476038414400883,19.0,11,0.9030809859154929,0.0
cross_environment,correlation_shrink_0.75_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.9077363426925462,0.01761743402545494,0.8883961566888396,5.109619689048494,33.58070025371358,0.06266955746201544,17.636363636363637,11,0.906205985915493,0.0
cross_environment,correlation_shrink_0.75_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.9030126762030986,0.023069874731351,0.8495934959349594,5.157962876895538,37.14412652469301,0.0652666091589472,22.818181818181817,11,0.9006602112676056,0.0
cross_environment,correlation_shrink_0.50_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.9088579704425738,0.019554106114034072,0.8748792270531401,6.559687850692119,40.379299784707634,0.06463074041936753,17.90909090909091,11,0.9080985915492957,0.0
cross_environment,correlation_shrink_0.50_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.9080933923765298,0.017943554554955676,0.878743961352657,6.6268503029848445,38.188909299959136,0.06342146252431731,18.90909090909091,11,0.907394366197183,0.0
cross_environment,raw_openvins,constant,AgACI-EWA,calibration_only,0.1,0.9,0.9044319144434607,0.04210332445704549,0.7930524759793053,16.988020391168472,197.09652911876407,0.06002474000645503,11.818181818181818,11,0.9017165492957746,0.0
cross_environment,raw_openvins,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9280048127807046,0.021920575808827565,0.9008448199199645,24.95863632182641,121.41120919507304,0.04911722204301295,9.545454545454545,11,0.928125,0.0
cross_environment,raw_openvins,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9278951254966992,0.022451185591994743,0.9026233881725211,26.262341928275305,128.4847103028084,0.052288215745183296,9.727272727272727,11,0.928125,0.0
cross_environment,raw_openvins,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.9166635973226067,0.01787521825427504,0.8957264957264958,38.5772246687293,184.9137554193252,0.07546428870440176,17.545454545454547,11,0.9158890845070422,0.0
cross_environment,raw_openvins,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.9169787461775821,0.01831157553822014,0.8945868945868946,39.63657627467826,183.5694975521055,0.07708890656578059,18.09090909090909,11,0.9161971830985915,0.0
